message_id,message_text,label,scam_type,platform,contains_link,btc_address_present,urgency_level,promised_return_pct,sentiment_score,message_length,created_at
MSG00025,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,ponzi,Discord,Yes,No,low,,-0.858,69,2024-02-12 20:53:00
MSG00026,Bitcoin price shows strong resistance near 65k.,legit,none,Twitter,No,No,medium,,-0.858,47,2024-06-22 07:25:00
MSG00027,Elon Musk BTC giveaway! Limited time offer.,scam,giveaway,Discord,No,No,high,200.0,-0.514,43,2024-12-10 09:48:00
MSG00028,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,phishing,Twitter,No,Yes,medium,200.0,-0.178,43,2024-02-09 10:42:00
MSG00029,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,high,,-0.321,47,2024-03-20 13:36:00
MSG00030,How to secure your crypto wallet effectively.,legit,none,Telegram,No,No,high,,-0.103,45,2024-11-03 04:54:00
MSG00031,Blockchain technology explained in simple terms.,legit,none,WhatsApp,No,No,low,,0.749,48,2024-02-24 21:26:00
MSG00032,Invest now and double your Bitcoin in 24 hours.,scam,phishing,Twitter,No,Yes,high,,0.938,47,2024-06-21 03:01:00
MSG00033,Latest Bitcoin market update and trends.,legit,none,WhatsApp,No,No,medium,,-0.573,40,2024-10-19 00:41:00
MSG00034,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,low,,0.971,45,2024-07-12 02:45:00
MSG00035,Urgent: Your wallet is compromised. Verify immediately.,scam,impersonation,Discord,No,Yes,medium,50.0,-0.62,55,2024-06-07 12:35:00
MSG00036,Tips for long-term crypto investment.,legit,none,Discord,No,No,low,,0.496,37,2024-02-11 15:02:00
MSG00037,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,high,,0.839,37,2024-04-24 15:20:00
MSG00038,Tips for long-term crypto investment.,legit,none,Twitter,No,No,low,,-0.863,37,2024-02-19 11:42:00
MSG00039,Latest Bitcoin market update and trends.,legit,none,Twitter,No,No,high,,-0.508,40,2024-01-29 22:32:00
MSG00040,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,high,,0.046,40,2024-07-08 21:12:00
MSG00041,Blockchain technology explained in simple terms.,legit,none,Telegram,No,No,medium,,-0.208,48,2024-08-06 10:49:00
MSG00042,Urgent: Your wallet is compromised. Verify immediately.,scam,phishing,Twitter,No,No,high,,-0.853,55,2024-06-04 05:08:00
MSG00043,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,investment,Twitter,No,Yes,medium,100.0,-0.685,43,2024-08-08 06:52:00
MSG00044,Tips for long-term crypto investment.,legit,none,Email,No,No,high,,-0.793,37,2024-04-07 18:54:00
MSG00045,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,phishing,Discord,Yes,No,medium,50.0,0.435,69,2024-05-28 06:07:00
MSG00046,Invest now and double your Bitcoin in 24 hours.,scam,impersonation,Email,No,Yes,low,,0.269,47,2024-07-20 11:20:00
MSG00047,Bitcoin price shows strong resistance near 65k.,legit,none,Email,No,No,low,,0.274,47,2024-07-09 18:00:00
MSG00048,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,high,,-0.145,40,2024-01-08 00:59:00
MSG00049,Bitcoin price shows strong resistance near 65k.,legit,none,Telegram,No,No,high,,-0.928,47,2024-09-25 20:31:00
MSG00050,Latest Bitcoin market update and trends.,legit,none,Telegram,No,No,low,,-0.383,40,2024-01-30 01:12:00
MSG00051,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,giveaway,Twitter,No,No,high,200.0,0.948,43,2024-04-22 13:00:00
MSG00052,How to secure your crypto wallet effectively.,legit,none,Telegram,No,No,medium,,-0.95,45,2024-08-29 21:21:00
MSG00053,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,investment,Telegram,No,Yes,low,200.0,0.744,43,2024-12-08 17:54:00
MSG00054,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,medium,,-0.39,45,2024-06-14 17:31:00
MSG00055,Bitcoin price shows strong resistance near 65k.,legit,none,Telegram,No,No,medium,,-0.343,47,2024-02-20 13:12:00
MSG00056,Urgent: Your wallet is compromised. Verify immediately.,scam,ponzi,WhatsApp,No,Yes,high,100.0,0.878,55,2024-03-24 23:44:00
MSG00057,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,ponzi,Email,No,No,high,200.0,-0.309,43,2024-08-16 09:54:00
MSG00058,Invest now and double your Bitcoin in 24 hours.,scam,ponzi,Twitter,No,No,high,50.0,-0.491,47,2024-11-13 12:39:00
MSG00059,Tips for long-term crypto investment.,legit,none,Discord,No,No,high,,0.439,37,2024-05-23 11:26:00
MSG00060,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Email,No,Yes,high,,0.44,43,2024-08-06 16:30:00
MSG00061,Elon Musk BTC giveaway! Limited time offer.,scam,investment,WhatsApp,No,Yes,high,50.0,-0.616,43,2024-10-03 02:02:00
MSG00062,Tips for long-term crypto investment.,legit,none,Discord,No,No,medium,,-0.188,37,2024-01-01 07:05:00
MSG00063,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,WhatsApp,No,Yes,high,100.0,-0.07,55,2024-11-17 23:18:00
MSG00064,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,high,,-0.661,37,2024-03-02 17:54:00
MSG00065,Invest now and double your Bitcoin in 24 hours.,scam,ponzi,Email,No,No,low,100.0,-0.551,47,2024-05-25 00:02:00
MSG00066,Bitcoin price shows strong resistance near 65k.,legit,none,Twitter,No,No,low,,0.968,47,2024-02-23 00:45:00
MSG00067,Elon Musk BTC giveaway! Limited time offer.,scam,ponzi,Telegram,No,Yes,medium,200.0,-0.201,43,2024-04-17 10:59:00
MSG00068,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,low,,-0.648,47,2024-12-04 06:35:00
MSG00069,Tips for long-term crypto investment.,legit,none,Telegram,No,No,low,,-0.087,37,2024-12-04 08:13:00
MSG00070,Elon Musk BTC giveaway! Limited time offer.,scam,ponzi,Discord,No,No,high,200.0,0.794,43,2024-12-11 15:32:00
MSG00071,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,Email,No,Yes,high,200.0,0.253,55,2024-07-18 22:56:00
MSG00072,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,investment,Telegram,Yes,No,medium,,-0.723,69,2024-06-17 09:35:00
MSG00073,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,giveaway,Twitter,No,No,medium,200.0,-0.168,43,2024-05-30 14:41:00
MSG00074,Elon Musk BTC giveaway! Limited time offer.,scam,ponzi,Twitter,No,Yes,high,200.0,-0.046,43,2024-09-13 03:25:00
MSG00075,Elon Musk BTC giveaway! Limited time offer.,scam,impersonation,Discord,No,Yes,high,50.0,-0.024,43,2024-07-17 17:53:00
MSG00076,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,WhatsApp,No,No,high,200.0,0.448,43,2024-12-06 08:14:00
MSG00077,Tips for long-term crypto investment.,legit,none,Discord,No,No,low,,0.814,37,2024-01-20 17:38:00
MSG00078,Latest Bitcoin market update and trends.,legit,none,Telegram,No,No,medium,,-0.637,40,2024-07-08 10:33:00
MSG00079,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,WhatsApp,No,No,medium,100.0,0.504,55,2024-11-02 23:22:00
MSG00080,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,impersonation,Twitter,Yes,Yes,low,100.0,-0.552,69,2024-02-19 23:11:00
MSG00081,Bitcoin price shows strong resistance near 65k.,legit,none,Telegram,No,No,low,,0.678,47,2024-04-20 23:04:00
MSG00082,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,high,,-0.771,45,2024-06-07 17:12:00
MSG00083,Urgent: Your wallet is compromised. Verify immediately.,scam,investment,Telegram,No,Yes,high,,0.556,55,2024-04-29 06:00:00
MSG00084,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,ponzi,Twitter,Yes,Yes,high,200.0,-0.207,69,2024-05-24 10:03:00
MSG00085,Tips for long-term crypto investment.,legit,none,Telegram,No,No,low,,0.394,37,2024-08-07 14:32:00
MSG00086,Tips for long-term crypto investment.,legit,none,Twitter,No,No,medium,,0.065,37,2024-09-26 20:11:00
MSG00087,Tips for long-term crypto investment.,legit,none,Email,No,No,low,,0.699,37,2024-12-22 22:53:00
MSG00088,Latest Bitcoin market update and trends.,legit,none,Email,No,No,high,,0.783,40,2024-11-30 18:31:00
MSG00089,Latest Bitcoin market update and trends.,legit,none,Telegram,No,No,high,,0.043,40,2024-07-15 16:01:00
MSG00090,Elon Musk BTC giveaway! Limited time offer.,scam,impersonation,Discord,No,No,low,,-0.442,43,2024-11-24 06:20:00
MSG00091,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,high,,0.336,40,2024-09-01 22:57:00
MSG00092,Latest Bitcoin market update and trends.,legit,none,Email,No,No,low,,-0.025,40,2024-09-15 09:00:00
MSG00093,Urgent: Your wallet is compromised. Verify immediately.,scam,investment,Discord,No,Yes,medium,,0.033,55,2024-05-19 02:57:00
MSG00094,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,medium,,0.11,45,2024-06-23 23:57:00
MSG00095,Elon Musk BTC giveaway! Limited time offer.,scam,impersonation,Twitter,No,No,low,200.0,0.384,43,2024-08-10 23:20:00
MSG00096,Elon Musk BTC giveaway! Limited time offer.,scam,ponzi,Discord,No,No,high,100.0,-0.296,43,2024-11-26 09:46:00
MSG00097,Urgent: Your wallet is compromised. Verify immediately.,scam,investment,Telegram,No,No,low,100.0,-0.761,55,2024-05-14 19:43:00
MSG00098,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,medium,,0.449,45,2024-07-25 01:45:00
MSG00099,How to secure your crypto wallet effectively.,legit,none,Email,No,No,low,,-0.278,45,2024-08-08 02:30:00
MSG00100,Tips for long-term crypto investment.,legit,none,Telegram,No,No,medium,,-0.909,37,2024-02-09 16:54:00
MSG00101,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,impersonation,Twitter,No,Yes,high,100.0,-0.061,43,2024-11-16 17:45:00
MSG00102,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,phishing,Email,No,Yes,medium,,0.644,43,2024-10-18 18:52:00
MSG00103,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,ponzi,Twitter,Yes,No,high,100.0,-0.83,69,2024-06-29 17:27:00
MSG00104,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,high,,0.192,37,2024-06-13 08:10:00
MSG00105,Elon Musk BTC giveaway! Limited time offer.,scam,impersonation,Email,No,Yes,medium,100.0,0.137,43,2024-02-13 20:36:00
MSG00106,How to secure your crypto wallet effectively.,legit,none,Telegram,No,No,medium,,0.321,45,2024-04-24 08:46:00
MSG00107,How to secure your crypto wallet effectively.,legit,none,Discord,No,No,low,,-0.687,45,2024-10-24 11:21:00
MSG00108,Invest now and double your Bitcoin in 24 hours.,scam,impersonation,Email,No,No,medium,100.0,0.406,47,2024-11-26 14:46:00
MSG00109,How to secure your crypto wallet effectively.,legit,none,Email,No,No,high,,0.18,45,2024-05-24 01:08:00
MSG00110,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,ponzi,Telegram,Yes,Yes,medium,50.0,-0.857,69,2024-04-30 19:42:00
MSG00111,Invest now and double your Bitcoin in 24 hours.,scam,ponzi,Email,No,No,medium,100.0,0.399,47,2024-07-17 05:50:00
MSG00112,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Discord,No,No,medium,100.0,0.207,43,2024-01-19 20:01:00
MSG00113,How to secure your crypto wallet effectively.,legit,none,Discord,No,No,high,,0.902,45,2024-07-15 06:02:00
MSG00114,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,high,,0.303,45,2024-07-21 13:08:00
MSG00115,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,high,,0.628,37,2024-03-07 10:34:00
MSG00116,Urgent: Your wallet is compromised. Verify immediately.,scam,impersonation,Email,No,No,low,50.0,-0.34,55,2024-12-26 18:56:00
MSG00117,Elon Musk BTC giveaway! Limited time offer.,scam,ponzi,Twitter,No,No,medium,100.0,-0.353,43,2024-10-21 07:28:00
MSG00118,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,medium,,-0.892,37,2024-09-20 10:33:00
MSG00119,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Telegram,No,No,low,100.0,-0.124,43,2024-12-18 22:57:00
MSG00120,Bitcoin price shows strong resistance near 65k.,legit,none,Discord,No,No,low,,0.42,47,2024-08-14 06:45:00
MSG00121,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,low,,-0.551,37,2024-03-23 14:52:00
MSG00122,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,giveaway,WhatsApp,Yes,Yes,medium,100.0,-0.169,69,2024-12-17 08:17:00
MSG00123,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,impersonation,Discord,No,No,low,50.0,0.728,43,2024-07-20 03:46:00
MSG00124,Urgent: Your wallet is compromised. Verify immediately.,scam,ponzi,Email,No,Yes,medium,100.0,0.675,55,2024-12-22 13:05:00
MSG00125,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,medium,,-0.31,40,2024-10-01 16:13:00
MSG00126,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,Telegram,No,No,low,200.0,-0.913,55,2024-12-10 09:51:00
MSG00127,Elon Musk BTC giveaway! Limited time offer.,scam,giveaway,WhatsApp,No,Yes,low,100.0,0.739,43,2024-11-16 14:54:00
MSG00128,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,low,,0.445,37,2024-10-25 12:53:00
MSG00129,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,medium,,-0.323,47,2024-10-16 10:31:00
MSG00130,Blockchain technology explained in simple terms.,legit,none,Discord,No,No,medium,,0.908,48,2024-12-21 07:30:00
MSG00131,Tips for long-term crypto investment.,legit,none,Twitter,No,No,low,,0.262,37,2024-07-28 06:18:00
MSG00132,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,low,,0.521,47,2024-03-14 04:29:00
MSG00133,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,investment,Twitter,No,No,low,100.0,-0.283,43,2024-11-09 14:47:00
MSG00134,How to secure your crypto wallet effectively.,legit,none,Discord,No,No,medium,,0.132,45,2024-05-11 02:43:00
MSG00135,How to secure your crypto wallet effectively.,legit,none,Twitter,No,No,high,,0.742,45,2024-06-24 08:48:00
MSG00136,Invest now and double your Bitcoin in 24 hours.,scam,giveaway,Telegram,No,No,medium,200.0,-0.489,47,2024-01-07 20:13:00
MSG00137,Urgent: Your wallet is compromised. Verify immediately.,scam,ponzi,Telegram,No,No,medium,100.0,0.278,55,2024-11-04 23:20:00
MSG00138,Elon Musk BTC giveaway! Limited time offer.,scam,investment,Telegram,No,Yes,medium,,-0.526,43,2024-09-18 09:15:00
MSG00139,Urgent: Your wallet is compromised. Verify immediately.,scam,phishing,WhatsApp,No,No,high,,0.821,55,2024-12-27 16:56:00
MSG00140,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,ponzi,Email,No,No,low,100.0,0.356,43,2024-04-09 14:23:00
MSG00141,Bitcoin price shows strong resistance near 65k.,legit,none,Email,No,No,medium,,-0.933,47,2024-09-22 16:24:00
MSG00142,Bitcoin price shows strong resistance near 65k.,legit,none,Email,No,No,medium,,0.495,47,2024-05-07 21:31:00
MSG00143,How to secure your crypto wallet effectively.,legit,none,Discord,No,No,medium,,0.062,45,2024-07-17 10:45:00
MSG00144,Blockchain technology explained in simple terms.,legit,none,WhatsApp,No,No,medium,,0.493,48,2024-09-03 15:28:00
MSG00145,Latest Bitcoin market update and trends.,legit,none,Twitter,No,No,low,,0.508,40,2024-06-13 06:54:00
MSG00146,Invest now and double your Bitcoin in 24 hours.,scam,investment,Twitter,No,Yes,low,100.0,0.073,47,2024-11-27 03:57:00
MSG00147,Urgent: Your wallet is compromised. Verify immediately.,scam,ponzi,WhatsApp,No,Yes,medium,,0.35,55,2024-12-09 07:39:00
MSG00148,Tips for long-term crypto investment.,legit,none,Discord,No,No,medium,,0.831,37,2024-06-10 04:40:00
MSG00149,Latest Bitcoin market update and trends.,legit,none,Email,No,No,high,,-0.183,40,2024-04-11 18:46:00
MSG00150,Bitcoin price shows strong resistance near 65k.,legit,none,Email,No,No,medium,,-0.768,47,2024-06-19 23:25:00
MSG00151,Latest Bitcoin market update and trends.,legit,none,WhatsApp,No,No,medium,,0.341,40,2024-11-01 04:46:00
MSG00152,Latest Bitcoin market update and trends.,legit,none,Twitter,No,No,medium,,0.231,40,2024-07-22 16:48:00
MSG00153,Blockchain technology explained in simple terms.,legit,none,Telegram,No,No,medium,,-0.111,48,2024-06-20 22:22:00
MSG00154,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,investment,Discord,Yes,Yes,high,100.0,-0.879,69,2024-07-19 21:22:00
MSG00155,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,low,,0.326,47,2024-01-16 13:14:00
MSG00156,Blockchain technology explained in simple terms.,legit,none,Telegram,No,No,low,,0.574,48,2024-05-29 10:13:00
MSG00157,Tips for long-term crypto investment.,legit,none,Telegram,No,No,high,,-0.568,37,2024-06-18 15:56:00
MSG00158,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,ponzi,Twitter,No,No,low,50.0,0.08,43,2024-05-07 01:33:00
MSG00159,Bitcoin price shows strong resistance near 65k.,legit,none,Telegram,No,No,low,,-0.284,47,2024-06-22 06:09:00
MSG00160,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,giveaway,Email,Yes,No,high,200.0,0.052,69,2024-02-16 06:45:00
MSG00161,Elon Musk BTC giveaway! Limited time offer.,scam,investment,Discord,No,No,medium,50.0,0.891,43,2024-02-01 13:51:00
MSG00162,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Twitter,No,Yes,medium,200.0,0.372,43,2024-12-23 00:04:00
MSG00163,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,phishing,Email,Yes,Yes,low,50.0,-0.45,69,2024-08-24 19:01:00
MSG00164,Invest now and double your Bitcoin in 24 hours.,scam,ponzi,Email,No,No,high,200.0,-0.802,47,2024-03-24 07:31:00
MSG00165,Latest Bitcoin market update and trends.,legit,none,WhatsApp,No,No,low,,-0.172,40,2024-11-26 05:28:00
MSG00166,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Email,No,No,high,100.0,-0.251,43,2024-04-21 03:33:00
MSG00167,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,phishing,Twitter,Yes,No,low,100.0,0.624,69,2024-02-13 16:14:00
MSG00168,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,impersonation,Email,Yes,Yes,medium,,0.937,69,2024-08-15 12:26:00
MSG00169,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,ponzi,Discord,Yes,No,high,200.0,-0.552,69,2024-03-19 19:15:00
MSG00170,Invest now and double your Bitcoin in 24 hours.,scam,investment,Twitter,No,Yes,high,50.0,0.614,47,2024-01-20 02:49:00
MSG00171,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,giveaway,Email,Yes,Yes,medium,100.0,-0.298,69,2024-05-12 02:17:00
MSG00172,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,low,,-0.716,37,2024-01-23 07:46:00
MSG00173,Tips for long-term crypto investment.,legit,none,Telegram,No,No,medium,,-0.16,37,2024-09-05 05:35:00
MSG00174,Blockchain technology explained in simple terms.,legit,none,Email,No,No,high,,-0.351,48,2024-03-02 20:43:00
MSG00175,How to secure your crypto wallet effectively.,legit,none,Telegram,No,No,high,,-0.9,45,2024-02-29 09:44:00
MSG00176,Elon Musk BTC giveaway! Limited time offer.,scam,impersonation,WhatsApp,No,Yes,medium,100.0,-0.569,43,2024-03-23 21:06:00
MSG00177,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Email,No,Yes,high,200.0,0.054,43,2024-08-12 14:01:00
MSG00178,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,high,,-0.89,45,2024-05-28 20:33:00
MSG00179,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,giveaway,Email,No,No,low,,-0.005,43,2024-11-09 14:14:00
MSG00180,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,high,,0.407,45,2024-12-30 06:43:00
MSG00181,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,impersonation,Twitter,Yes,No,medium,,0.724,69,2024-11-08 14:17:00
MSG00182,Elon Musk BTC giveaway! Limited time offer.,scam,investment,Twitter,No,No,medium,50.0,0.603,43,2024-12-01 00:46:00
MSG00183,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,impersonation,Twitter,Yes,No,high,200.0,0.048,69,2024-10-15 04:31:00
MSG00184,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,Email,No,Yes,low,,0.061,55,2024-05-21 04:42:00
MSG00185,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,Telegram,No,No,medium,50.0,-0.653,55,2024-04-21 07:35:00
MSG00186,How to secure your crypto wallet effectively.,legit,none,WhatsApp,No,No,medium,,0.509,45,2024-11-22 21:11:00
MSG00187,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,WhatsApp,No,No,medium,100.0,0.593,55,2024-02-10 21:40:00
MSG00188,Invest now and double your Bitcoin in 24 hours.,scam,phishing,Email,No,No,low,,-0.263,47,2024-07-28 01:02:00
MSG00189,Bitcoin price shows strong resistance near 65k.,legit,none,Discord,No,No,high,,0.014,47,2024-12-02 22:28:00
MSG00190,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,high,,-0.624,40,2024-12-12 08:13:00
MSG00191,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,low,,0.622,47,2024-09-07 02:00:00
MSG00192,Tips for long-term crypto investment.,legit,none,Telegram,No,No,low,,-0.505,37,2024-11-14 18:22:00
MSG00193,Invest now and double your Bitcoin in 24 hours.,scam,ponzi,Discord,No,No,medium,100.0,-0.225,47,2024-09-03 09:23:00
MSG00194,Blockchain technology explained in simple terms.,legit,none,Twitter,No,No,medium,,-0.811,48,2024-10-08 11:41:00
MSG00195,Urgent: Your wallet is compromised. Verify immediately.,scam,ponzi,Telegram,No,No,high,50.0,0.833,55,2024-08-13 21:41:00
MSG00196,Send 0.1 BTC and receive 0.5 BTC instantly!,scam,ponzi,Twitter,No,No,medium,100.0,0.626,43,2024-03-09 01:12:00
MSG00197,Invest now and double your Bitcoin in 24 hours.,scam,investment,Twitter,No,No,low,50.0,-0.317,47,2024-12-20 02:12:00
MSG00198,How to secure your crypto wallet effectively.,legit,none,Telegram,No,No,low,,-0.846,45,2024-03-14 15:33:00
MSG00199,Blockchain technology explained in simple terms.,legit,none,Discord,No,No,low,,0.194,48,2024-04-22 07:45:00
MSG00200,How to secure your crypto wallet effectively.,legit,none,Discord,No,No,low,,0.442,45,2024-02-01 19:34:00
MSG00201,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,WhatsApp,No,Yes,high,200.0,-0.532,55,2024-06-23 03:46:00
MSG00202,Elon Musk BTC giveaway! Limited time offer.,scam,giveaway,Email,No,Yes,high,200.0,-0.077,43,2024-07-24 04:19:00
MSG00203,Invest now and double your Bitcoin in 24 hours.,scam,ponzi,WhatsApp,No,Yes,low,50.0,0.746,47,2024-02-07 23:54:00
MSG00204,Urgent: Your wallet is compromised. Verify immediately.,scam,ponzi,Twitter,No,Yes,high,,-0.43,55,2024-04-26 17:39:00
MSG00205,Elon Musk BTC giveaway! Limited time offer.,scam,ponzi,Telegram,No,Yes,low,50.0,0.633,43,2024-09-11 13:26:00
MSG00206,Latest Bitcoin market update and trends.,legit,none,Twitter,No,No,medium,,0.004,40,2024-06-20 16:31:00
MSG00207,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,investment,Telegram,Yes,No,low,100.0,0.583,69,2024-04-10 04:43:00
MSG00208,Blockchain technology explained in simple terms.,legit,none,WhatsApp,No,No,high,,0.662,48,2024-12-07 14:17:00
MSG00209,Invest now and double your Bitcoin in 24 hours.,scam,phishing,Twitter,No,No,low,50.0,0.098,47,2024-11-04 04:54:00
MSG00210,Blockchain technology explained in simple terms.,legit,none,Telegram,No,No,medium,,-0.756,48,2024-06-22 15:01:00
